Namespace(device='cuda:1', in_size=3, num_classes=2, fusion_type='early', gcn_channels=3, gcn_hidden=64, gcn_layers=4, gcn_dropout=0.1, trans_num_layers=4, input_node_dim=3, hidden_node_dim=32, input_edge_dim=0, hidden_edge_dim=32, ouput_dim=None, n_heads=4, max_in_degree=5, max_out_degree=5, max_path_distance=5, hidden_dim=64, num_layers=4, num_features=3, num_heads=8, dropout=0.1, pos_encoding='gcn', att_dropout=0.1, d_k=64, d_v=64, pos_embed_type='s', alpha=0.4, num_fusion_layers=4, loss_log=1, output_dim=2)
Epoch: 063,  Train loss: 0.550116,  Train Acc: 0.729213,  Test Acc: 0.690583
Epoch: 064,  Train loss: 0.548395,  Train Acc: 0.729213,  Test Acc: 0.690583
Epoch: 065,  Train loss: 0.539065,  Train Acc: 0.738202,  Test Acc: 0.686099
Epoch: 066,  Train loss: 0.543948,  Train Acc: 0.729213,  Test Acc: 0.699552
Epoch: 067,  Train loss: 0.540932,  Train Acc: 0.725843,  Test Acc: 0.677130
Epoch: 068,  Train loss: 0.538364,  Train Acc: 0.732584,  Test Acc: 0.699552
Epoch: 069,  Train loss: 0.553908,  Train Acc: 0.716854,  Test Acc: 0.713004
Epoch: 070,  Train loss: 0.547283,  Train Acc: 0.740449,  Test Acc: 0.681614
Epoch: 071,  Train loss: 0.541231,  Train Acc: 0.738202,  Test Acc: 0.672646
Epoch: 072,  Train loss: 0.542129,  Train Acc: 0.741573,  Test Acc: 0.690583
Epoch: 073,  Train loss: 0.536647,  Train Acc: 0.719101,  Test Acc: 0.690583
Epoch: 074,  Train loss: 0.537669,  Train Acc: 0.740449,  Test Acc: 0.704036
Epoch: 075,  Train loss: 0.527498,  Train Acc: 0.742697,  Test Acc: 0.699552
Epoch: 076,  Train loss: 0.547047,  Train Acc: 0.733708,  Test Acc: 0.699552
Epoch: 077,  Train loss: 0.541815,  Train Acc: 0.743820,  Test Acc: 0.695067
Epoch: 078,  Train loss: 0.535435,  Train Acc: 0.722472,  Test Acc: 0.695067
Epoch: 079,  Train loss: 0.545763,  Train Acc: 0.734831,  Test Acc: 0.699552
Epoch: 080,  Train loss: 0.545815,  Train Acc: 0.731461,  Test Acc: 0.704036
Epoch: 081,  Train loss: 0.546392,  Train Acc: 0.735955,  Test Acc: 0.695067
Epoch: 082,  Train loss: 0.557978,  Train Acc: 0.704494,  Test Acc: 0.704036
Epoch: 083,  Train loss: 0.548674,  Train Acc: 0.706742,  Test Acc: 0.695067
Epoch: 084,  Train loss: 0.550535,  Train Acc: 0.737079,  Test Acc: 0.686099
Epoch: 085,  Train loss: 0.548975,  Train Acc: 0.732584,  Test Acc: 0.681614
Epoch: 086,  Train loss: 0.546935,  Train Acc: 0.730337,  Test Acc: 0.695067
Epoch: 087,  Train loss: 0.546532,  Train Acc: 0.739326,  Test Acc: 0.699552
