Namespace(device='cuda:2', in_size=3, num_classes=2, fusion_type='early', gcn_channels=3, gcn_hidden=64, gcn_layers=4, gcn_dropout=0.1, trans_num_layers=4, input_node_dim=3, hidden_node_dim=32, input_edge_dim=0, hidden_edge_dim=32, ouput_dim=None, n_heads=4, max_in_degree=5, max_out_degree=5, max_path_distance=5, hidden_dim=64, num_layers=4, num_features=3, num_heads=8, dropout=0.1, pos_encoding='gcn', att_dropout=0.1, d_k=64, d_v=64, pos_embed_type='s', alpha=0.4, num_fusion_layers=4, loss_log=2, output_dim=2)
Epoch: 000,  Train loss: 0.682388,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 001,  Train loss: 0.612644,  Train Acc: 0.613483,  Test Acc: 0.618834
Epoch: 002,  Train loss: 0.597956,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 003,  Train loss: 0.584864,  Train Acc: 0.660674,  Test Acc: 0.641256
Epoch: 004,  Train loss: 0.573877,  Train Acc: 0.714607,  Test Acc: 0.708520
Epoch: 005,  Train loss: 0.597797,  Train Acc: 0.617978,  Test Acc: 0.623318
Epoch: 006,  Train loss: 0.586205,  Train Acc: 0.630337,  Test Acc: 0.623318
Epoch: 007,  Train loss: 0.578556,  Train Acc: 0.716854,  Test Acc: 0.681614
Epoch: 008,  Train loss: 0.576573,  Train Acc: 0.650562,  Test Acc: 0.627803
Epoch: 009,  Train loss: 0.564339,  Train Acc: 0.714607,  Test Acc: 0.690583
Epoch: 010,  Train loss: 0.576095,  Train Acc: 0.700000,  Test Acc: 0.681614
Epoch: 011,  Train loss: 0.567690,  Train Acc: 0.707865,  Test Acc: 0.686099
Epoch: 012,  Train loss: 0.563505,  Train Acc: 0.710112,  Test Acc: 0.699552
Epoch: 013,  Train loss: 0.557617,  Train Acc: 0.717978,  Test Acc: 0.686099
Epoch: 014,  Train loss: 0.557897,  Train Acc: 0.682022,  Test Acc: 0.663677
Epoch: 015,  Train loss: 0.571433,  Train Acc: 0.714607,  Test Acc: 0.681614
Epoch: 016,  Train loss: 0.594414,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 017,  Train loss: 0.592004,  Train Acc: 0.593258,  Test Acc: 0.605381
Epoch: 018,  Train loss: 0.583474,  Train Acc: 0.655056,  Test Acc: 0.636771
Epoch: 019,  Train loss: 0.569324,  Train Acc: 0.685393,  Test Acc: 0.690583
Epoch: 020,  Train loss: 0.568558,  Train Acc: 0.724719,  Test Acc: 0.681614
Epoch: 021,  Train loss: 0.569543,  Train Acc: 0.702247,  Test Acc: 0.690583
Epoch: 022,  Train loss: 0.558841,  Train Acc: 0.737079,  Test Acc: 0.681614
Epoch: 023,  Train loss: 0.564476,  Train Acc: 0.705618,  Test Acc: 0.704036
